cycle,sex_ratio
1,0.5
11,0.545455
21,0.46
31,0.521739
41,0.556522
51,0.43
61,0.428571
71,0.505155
81,0.485981
91,0.442308
101,0.50495
111,0.446809
121,0.526316
131,0.490566
141,0.567308
151,0.567308
161,0.625
171,0.559633
181,0.465347
191,0.527778
201,0.553571
211,0.43299
221,0.53125
231,0.526316
241,0.407767
251,0.47
261,0.479167
271,0.484536
281,0.564815
291,0.568627
301,0.595745
311,0.443396
321,0.523364
331,0.402174
341,0.525773
351,0.485149
361,0.480392
371,0.484848
381,0.546296
391,0.495327
401,0.459184
411,0.526316
421,0.518519
431,0.5625
441,0.489583
451,0.51
461,0.434783
471,0.41
481,0.504505
491,0.537736
501,0.555556
511,0.458333
521,0.480392
531,0.386139
541,0.51
551,0.45
561,0.514563
571,0.432692
581,0.475248
591,0.392157
601,0.521277
611,0.510417
621,0.539216
631,0.420455
641,0.494949
651,0.421569
661,0.392157
671,0.511111
681,0.463918
691,0.417476
701,0.525773
711,0.5
721,0.505155
731,0.575758
741,0.463158
751,0.495238
761,0.574074
771,0.514851
781,0.514286
791,0.474747
801,0.565657
811,0.521739
821,0.514019
831,0.5
841,0.38835
851,0.533333
861,0.57
871,0.509615
881,0.419048
891,0.564356
901,0.396226
911,0.5
921,0.456522
931,0.494845
941,0.510417
951,0.539216
961,0.509615
971,0.445378
981,0.495238
991,0.490196
1001,0.584158
1011,0.459184
1021,0.475728
1031,0.407407
1041,0.54
1051,0.56
1061,0.540816
1071,0.45
1081,0.57732
1091,0.52
1101,0.530612
1111,0.521739
1121,0.52
1131,0.549451
1141,0.584158
1151,0.41573
1161,0.472222
1171,0.603774
1181,0.474747
1191,0.561224
1201,0.469388
1211,0.463918
1221,0.483871
1231,0.540816
1241,0.466667
1251,0.509804
1261,0.5
1271,0.52
1281,0.55102
1291,0.5625
1301,0.380952
1311,0.536082
1321,0.460784
1331,0.539823
1341,0.584158
1351,0.475248
1361,0.484848
1371,0.494624
1381,0.622222
1391,0.395833
1401,0.460784
1411,0.531915
1421,0.479592
1431,0.557895
1441,0.57
1451,0.532609
1461,0.494949
1471,0.56701
1481,0.51
1491,0.473684
1501,0.531915
1511,0.495327
1521,0.494949
1531,0.480769
1541,0.451923
1551,0.5625
1561,0.537736
1571,0.5
1581,0.552381
1591,0.395604
1601,0.474747
1611,0.529412
1621,0.59292
1631,0.494845
1641,0.519231
1651,0.535354
1661,0.505618
1671,0.443396
1681,0.590909
1691,0.514286
1701,0.445455
1711,0.51087
1721,0.575221
1731,0.555556
1741,0.435644
1751,0.538462
1761,0.572816
1771,0.622222
1781,0.613861
1791,0.472727
1801,0.601942
1811,0.504762
1821,0.505495
1831,0.52381
1841,0.49
1851,0.515152
1861,0.43
1871,0.537037
1881,0.57732
1891,0.5
1901,0.55102
1911,0.509804
1921,0.526882
1931,0.510417
1941,0.489583
1951,0.476636
1961,0.510417
1971,0.504673
1981,0.47619
1991,0.443299
2001,0.509091
2011,0.454545
2021,0.504762
2031,0.484211
2041,0.53125
2051,0.51
2061,0.470588
2071,0.44086
2081,0.529412
2091,0.407767
2101,0.5
2111,0.586538
2121,0.6
2131,0.464646
2141,0.466667
2151,0.527778
2161,0.511364
2171,0.45098
2181,0.490196
2191,0.537736
2201,0.555556
2211,0.540816
2221,0.511111
2231,0.51
2241,0.451327
2251,0.475728
2261,0.460784
2271,0.51
2281,0.494845
2291,0.45
2301,0.460674
2311,0.454545
2321,0.52
2331,0.4
2341,0.56
2351,0.533333
2361,0.525253
2371,0.523256
2381,0.490196
